Left Elbow,Right Elbow,Left Knee,Right Knee
79.62745985,29.73873293,118.8353447,151.9053965
70.15622135,23.24873818,100.236812,143.2246922
76.9007785,20.38154929,57.24137268,123.6660712
79.06405372,17.37043768,52.71790082,91.93523388
85.44976353,21.1726359,59.6808501,86.31593253
84.62531037,25.13349955,61.11813319,70.59774486
89.4286741,53.6680993,60.73369076,77.67078771
91.38600987,129.5884623,53.41111635,67.43346798
82.88534178,36.89120996,74.38055904,118.0402185
62.6951668,33.19074162,106.113275,133.4200774
54.9569094,34.04766193,121.8618465,151.7807518
59.36869102,76.15351754,112.4234779,157.4563803
91.42417317,127.1749545,107.6991273,159.4566126
86.11878039,116.5150852,117.4673684,159.6326858
108.9652963,115.0261745,111.4284251,156.348727
95.8077919,104.2982035,111.3546007,152.4140693
20.58704239,22.92986597,108.3331339,139.0783099
16.0117628,23.28109845,94.06502667,118.5083765
27.50628708,23.06985173,81.50420522,86.93494361
15.45940431,53.37667142,85.78483859,86.93235335
11.15054477,95.31589204,87.87845132,68.37016004
32.78250976,102.3010798,85.08505807,70.41227265
26.70517106,73.16847857,75.40438286,64.28142699
20.05800388,53.73608381,98.5943947,77.24240352
46.356129,51.99194095,140.0299827,73.61253347
40.30126773,76.1604169,151.3799914,83.12899051
